Day of the Week,Part of Day,Region,Sky,Ambulance,Police
Thursday,Evening,METROPOLITAN SOUTH EAST REGION,Not clear,6.872391829562921,5.972435756643968
Thursday,Evening,NORTH EASTERN REGION,Clear,0.25556513596454633,0.23484363845390743
Thursday,Evening,NORTH EASTERN REGION,Not clear,0.49088513068306583,0.49088513068306583
Thursday,Evening,NORTHERN REGION,Clear,0.35917262351774076,0.28319379931206484
Thursday,Evening,NORTHERN REGION,Not clear,1.145398638260487,0.9817702613661317
Thursday,Evening,SOUTH WESTERN REGION,Clear,0.5387589352766112,0.49040877441845376
Thursday,Evening,SOUTH WESTERN REGION,Not clear,1.6362837689435528,1.4726553920491976
Thursday,Evening,WESTERN REGION,Clear,0.29010096514894446,0.2486579701276667
Thursday,Evening,WESTERN REGION,Not clear,1.2272128267076645,0.9817702613661317
Thursday,Morning,EASTERN REGION,Clear,0.6362009036126113,0.5872623725654873
Thursday,Morning,EASTERN REGION,Not clear,0.6395865881504628,0.49422599993444843
Thursday,Morning,METROPOLITAN NORTH WEST REGION,Clear,4.534970543700153,3.4175407514574885
Thursday,Morning,METROPOLITAN NORTH WEST REGION,Not clear,2.558346352601851,2.151336705597011
Thursday,Morning,METROPOLITAN SOUTH EAST REGION,Clear,4.094523764276037,3.3522893767279904
Thursday,Morning,METROPOLITAN SOUTH EAST REGION,Not clear,2.6164905878882565,2.0931924703106053
Thursday,Morning,NORTH EASTERN REGION,Clear,0.6606701691361733,0.5464802633595507
Thursday,Morning,NORTH EASTERN REGION,Not clear,0.3488654117184342,0.26164905878882566
Thursday,Morning,NORTHERN REGION,Clear,0.7503908093892339,0.6606701691361733
Thursday,Morning,NORTHERN REGION,Not clear,0.23257694114562283,0.20350482350241997
Thursday,Morning,SOUTH WESTERN REGION,Clear,0.8482678714834817,0.7096087001832972
Thursday,Morning,SOUTH WESTERN REGION,Not clear,0.3779375293616371,0.3488654117184342
Thursday,Morning,WESTERN REGION,Clear,0.5301674196771761,0.4322903575829282
Thursday,Morning,WESTERN REGION,Not clear,0.3197932940752314,0.26164905878882566
Thursday,Night,EASTERN REGION,Clear,0.07958758062629334,0.07958758062629334
Thursday,Night,EASTERN REGION,Not clear,0.15947815965598627,0.15947815965598627
Thursday,Night,METROPOLITAN NORTH WEST REGION,Clear,0.7322057417618988,0.6924119514487521
Thursday,Night,METROPOLITAN NORTH WEST REGION,Not clear,0.44653884703676167,0.4146432151055644
Thursday,Night,METROPOLITAN SOUTH EAST REGION,Clear,0.5173192740709067,0.4854842418203894
Thursday,Night,METROPOLITAN SOUTH EAST REGION,Not clear,0.5103301108991561,0.4784344789679589
Thursday,Night,NORTH EASTERN REGION,Clear,0.12734012900206934,0.11142261287681068
Thursday,Night,NORTH EASTERN REGION,Not clear,0.12758252772478904,0.12758252772478904
Thursday,Night,NORTHERN REGION,Clear,0.11142261287681068,0.11142261287681068
Thursday,Night,NORTHERN REGION,Not clear,0.03189563193119726,0.0
Thursday,Night,SOUTH WESTERN REGION,Clear,0.1352988870646987,0.1352988870646987
Thursday,Night,SOUTH WESTERN REGION,Not clear,0.03189563193119726,0.0
Thursday,Night,WESTERN REGION,Clear,0.08754633868892268,0.07958758062629334
Thursday,Night,WESTERN REGION,Not clear,0.09568689579359178,0.09568689579359178
Tuesday,Afternoon,EASTERN REGION,Clear,0.8194361272917535,0.6840510280000727
Tuesday,Afternoon,EASTERN REGION,Not clear,0.8403566878980896,0.7203057324840768
Tuesday,Afternoon,METROPOLITAN NORTH WEST REGION,Clear,5.08762952075054,3.933293411000417
Tuesday,Afternoon,METROPOLITAN NORTH WEST REGION,Not clear,3.00127388535032,2.0408662420382178
Tuesday,Afternoon,METROPOLITAN SOUTH EAST REGION,Clear,5.643420981000599,4.759855069833838
Tuesday,Afternoon,METROPOLITAN SOUTH EAST REGION,Not clear,5.402292993630576,4.0817324840764355
Tuesday,Afternoon,NORTH EASTERN REGION,Clear,0.8336871903750884,0.6769254964584052
Tuesday,Afternoon,NORTH EASTERN REGION,Not clear,0.6602802547770704,0.600254777070064
Tuesday,Afternoon,NORTHERN REGION,Clear,0.8621893165417581,0.7339297487917446
Tuesday,Afternoon,NORTHERN REGION,Not clear,1.1404840764331217,1.0204331210191089
Tuesday,Afternoon,SOUTH WESTERN REGION,Clear,1.2184658936251294,0.9690722896667696
Tuesday,Afternoon,SOUTH WESTERN REGION,Not clear,1.0804585987261153,1.0204331210191089
Tuesday,Afternoon,WESTERN REGION,Clear,0.9548212265834347,0.7481808118750795
Tuesday,Afternoon,WESTERN REGION,Not clear,0.8403566878980896,0.7203057324840768
Tuesday,Evening,EASTERN REGION,Clear,0.24175080429078705,0.22102930678014818
Tuesday,Evening,EASTERN REGION,Not clear,1.0635844498133094,1.0635844498133094
Tuesday,Evening,METROPOLITAN NORTH WEST REGION,Clear,2.769773500588732,2.362250716212834
Tuesday,Evening,METROPOLITAN NORTH WEST REGION,Not clear,4.336151987700415,3.4361959147814605
Tuesday,Evening,METROPOLITAN SOUTH EAST REGION,Clear,2.3139005553546763,2.1066855802482873
Tuesday,Evening,METROPOLITAN SOUTH EAST REGION,Not clear,5.972435756643968,4.090709422358882
Tuesday,Evening,NORTH EASTERN REGION,Clear,0.2693794676383056,0.24175080429078705
Tuesday,Evening,NORTH EASTERN REGION,Not clear,0.49088513068306583,0.49088513068306583
Tuesday,Evening,NORTHERN REGION,Clear,0.36607978935462043,0.317729628496463
Tuesday,Evening,NORTHERN REGION,Not clear,0.8181418844717764,0.6545135075774211
Tuesday,Evening,SOUTH WESTERN REGION,Clear,0.44896577939717597,0.40061561853901856
Tuesday,Evening,SOUTH WESTERN REGION,Not clear,0.6545135075774211,0.5726993191302435
Tuesday,Evening,WESTERN REGION,Clear,0.28319379931206484,0.24175080429078705
Tuesday,Evening,WESTERN REGION,Not clear,0.5726993191302435,0.4090709422358882
Tuesday,Morning,EASTERN REGION,Clear,0.6525137472949859,0.5301674196771761
Tuesday,Morning,EASTERN REGION,Not clear,0.6686587057936657,0.5814423528640571
Tuesday,Morning,METROPOLITAN NORTH WEST REGION,Clear,4.5920654965884635,3.637764141169547
