day,hour_bin,lga,sky,scaled_ambulance,scaled_police
Friday,Afternoon,SHEPPARTON,Not clear,0.0170806613822413,0.0170806613822413
Friday,Afternoon,SOUTH GIPPSLAND,Clear,0.00675872957511922,0.00675872957511922
Friday,Afternoon,SOUTH GIPPSLAND,Not clear,0.02277421517632174,0.0170806613822413
Friday,Afternoon,SOUTHERN GRAMPIANS,Clear,0.004055237745071532,0.00337936478755961
Friday,Afternoon,SOUTHERN GRAMPIANS,Not clear,0.005693553794080435,0.005693553794080435
Friday,Afternoon,STONNINGTON,Clear,0.027710791257988802,0.014869205065262287
Friday,Afternoon,STONNINGTON,Not clear,0.051241984146723915,0.02277421517632174
Friday,Afternoon,STRATHBOGIE,Clear,0.0027034918300476883,0.002027618872535766
Friday,Afternoon,STRATHBOGIE,Not clear,0.005693553794080435,0.005693553794080435
Friday,Afternoon,SURF COAST,Clear,0.008786348447654985,0.0054069836600953766
Friday,Afternoon,SURF COAST,Not clear,0.02277421517632174,0.0170806613822413
Friday,Afternoon,SWAN HILL,Clear,0.00675872957511922,0.0054069836600953766
Friday,Afternoon,SWAN HILL,Not clear,0.005693553794080435,0.005693553794080435
Friday,Afternoon,TOWONG,Clear,0.004055237745071532,0.00337936478755961
Friday,Afternoon,TOWONG,Not clear,0.005693553794080435,0.005693553794080435
Friday,Afternoon,WANGARATTA,Clear,0.012841586192726519,0.010138094362678832
Friday,Afternoon,WANGARATTA,Not clear,0.01138710758816087,0.005693553794080435
Friday,Afternoon,WARRNAMBOOL,Clear,0.00675872957511922,0.004731110702583454
Friday,Afternoon,WELLINGTON,Clear,0.012841586192726519,0.010813967320190753
Friday,Afternoon,WELLINGTON,Not clear,0.005693553794080435,0.005693553794080435
Friday,Afternoon,WEST WIMMERA,Clear,0.0027034918300476883,0.0027034918300476883
Friday,Afternoon,WHITEHORSE,Clear,0.030414283088036495,0.022303807597893428
Friday,Afternoon,WHITEHORSE,Not clear,0.07401619932304565,0.07401619932304565
Friday,Afternoon,WHITTLESEA,Clear,0.04325586928076301,0.037848885620667634
